,onset,offset,label,onset_sample,offset_sample,length,corrcoeff
270,118.680533,118.688567,1,3560415,3560657,242,0.11622500321777822
271,118.6946,118.867633,1,3560838,3566028,5190,0.3046547351127965
272,118.870433,118.8833,1,3566112,3566499,387,0.34378702603830197
273,118.884533,118.922633,1,3566535,3567678,1143,0.4041450045059599
274,118.931333,118.9673,1,3567939,3569019,1080,0.43270258284398844
275,118.974933,119.299333,1,3569247,3578979,9732,0.3428086993352129
276,119.3115,119.3624,1,3579345,3580872,1527,0.20112598152033523
277,119.363633,119.366833,1,3580908,3581004,96,0.0032639748375888037
278,119.368067,119.375867,1,3581042,3581276,234,0.5996080920365217
279,119.381833,119.394133,1,3581454,3581823,369,0.22128175487569324
280,119.4605,119.466867,1,3583815,3584006,191,0.053851511880935135
281,119.6758,119.7745,1,3590274,3593235,2961,0.7370677487755393
282,119.787933,119.825333,1,3593637,3594759,1122,0.6830671844438538
283,119.838567,119.874967,1,3595157,3596249,1092,0.735467112662108
284,119.883433,119.9158,1,3596502,3597474,972,-0.011448066852047608
285,119.918867,119.960333,1,3597566,3598809,1243,0.17047979316107098
286,119.961333,120.131867,1,3598839,3603956,5117,0.6846752686057022
287,120.140233,120.227233,1,3604206,3606816,2610,0.7568515650270675
288,120.261733,120.314033,1,3607851,3609420,1569,0.5551039269365056
289,120.3161,120.320333,1,3609483,3609609,126,-0.1441756476913093
290,120.6001,120.605367,1,3618003,3618161,158,0.2746490030930098
291,120.6307,120.6355,1,3618921,3619065,144,0.5029777151032908
292,120.639567,120.664767,1,3619187,3619943,756,0.7871323768827221
293,120.6697,120.6951,1,3620091,3620853,762,0.6792244990981463
294,120.6977,120.706167,1,3620931,3621185,254,0.5936805543731198
295,120.7266,120.824167,1,3621798,3624725,2927,0.7654884764805077
296,120.841467,120.873433,1,3625244,3626202,958,0.6795377158933353
297,120.897433,120.914833,1,3626922,3627444,522,0.3538034549358697
298,120.9659,121.011233,1,3628977,3630336,1359,0.5688304098940217
299,121.126833,121.130133,1,3633804,3633903,99,
300,121.138133,121.2107,1,3634143,3636321,2178,0.664886597288599
301,121.2124,121.242367,1,3636372,3637271,899,0.6316465189591682
302,121.5744,121.601833,1,3647232,3648054,822,0.550538341830439
303,121.602967,121.622467,1,3648089,3648674,585,0.6653379756189297
304,121.634567,121.641667,1,3649037,3649250,213,0.5700536961214984
305,121.6429,121.6882,1,3649287,3650646,1359,0.7315737793871316
306,121.698733,121.704467,1,3650961,3651134,173,0.08281229555109877
307,121.7586,121.7623,1,3652758,3652869,111,0.16997116382657612
308,121.763333,121.8732,1,3652899,3656196,3297,0.7631688709129552
309,121.879867,121.887233,1,3656396,3656616,220,-0.1677188276922486
310,121.9687,122.1025,1,3659061,3663075,4014,0.812983750401863
311,122.117133,122.155367,1,3663513,3664661,1148,0.7404442458134664
312,122.173733,122.195,1,3665211,3665850,639,0.08183125928843767
313,122.204067,122.2114,1,3666122,3666342,220,-0.018406186644452895
314,122.2586,122.263167,1,3667758,3667895,137,0.41587146802000113
315,122.2699,122.397967,1,3668097,3671939,3842,0.7838445260606753
316,122.437567,122.463767,1,3673127,3673913,786,0.17126196443386185
317,122.466167,122.4998,1,3673985,3674994,1009,-0.0051403837348202724
